Pairwise_Comparison,Distance,SE
Round Goby vs. Round Goby,0.305063204,0.014762778
Round Goby vs. Yellow Bullhead,0.387215822,0.013464506
Yellow Bullhead vs. Yellow Bullhead,0.312934091,0.018705383
