"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050","YBH039","YBH041","YBH051","YBH052","YBH053","YBH055","YBH056"
"Otu124",0,198,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"Otu161",0,262,65,25,2,0,0,0,93,0,59,0,0,0,0,0,0,8,0,0,0,0
"Otu183",0,122,0,0,3,7,70,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Otu33",0,279,643,0,11,143,1,0,796,14,167,2,0,39,0,0,0,3,0,7,0,0
"Otu270",0,56,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Otu415",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu264",0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu225",0,92,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu6",0,12,9,0,11,248,0,1,0,1,1,1,0,0,0,303,14508,18816,10429,17272,1668,184
"Otu531",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu15",0,8,1,11209,13,0,0,0,0,0,15,14,689,2,4,5,0,0,0,0,0,0
"Otu277",0,52,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu276",0,2,0,136,0,0,57,0,0,0,57,116,108,0,38,0,0,0,0,1,0,0
"Otu8",0,89,198,12868,2507,498,219,7125,0,2,1083,0,5007,5,0,0,1,2,2,706,0,0
"Otu185",0,11,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu36",0,11,0,0,15,2,0,288,346,0,0,160,669,0,0,0,0,0,0,0,0,0
"Otu231",0,33,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu273",0,65,0,0,23,2,0,0,39,0,27,0,0,0,0,0,0,0,0,0,0,0
"Otu105",0,28,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0
"Otu123",0,7,0,0,1,0,92,257,0,0,96,0,0,0,0,0,0,0,0,0,1,0
"Otu261",0,8,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,4,0,0,0,0
"Otu927",0,1,510,0,0,0,0,0,0,0,0,0,2,8,0,630,102,3,364,7,550,1167
"Otu12",0,5,185,1243,1059,216,0,15367,2,0,9941,308,1541,6,0,71,0,92,16,13035,3,0
"Otu451",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu567",0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,213,110,8,721,8,0
"Otu291",0,3,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu445",0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Otu916",0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"Otu159",0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,33,0,80,88,3,0,5
"Otu28",0,1,0,0,0,4,0,22,1870,528,0,0,0,0,0,2,0,0,0,0,0,0
"Otu545",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu649",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu637",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Otu897",0,1,0,0,2,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Otu917",0,0,64,0,0,0,0,0,0,0,0,0,0,1,0,142,64,3,101,0,114,256
"Otu492",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu299",0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,8,0,27,50,0,7,31
"Otu7",0,0,427,0,131,0,0,0,0,0,125,0,768,664,0,1380,79,11062,21004,140,4434,19722
"Otu200",0,0,118,0,0,0,0,0,0,1,0,0,469,0,0,0,0,0,0,0,0,0
"Otu670",0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,3,0,53,210,0,21,49
"Otu84",0,0,85,0,0,0,0,0,0,0,0,0,8,0,0,1,109,127,72,34,14,49
"Otu400",0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu325",0,0,130,0,5,0,0,0,0,0,2,0,0,2,0,291,9,1046,922,1,360,1221
"Otu257",0,0,63,0,0,0,0,0,0,0,0,0,0,1,0,21,2,33,53,9,13,60
"Otu212",0,0,113,0,0,1,0,0,0,0,0,0,91,0,0,0,0,0,3,0,0,0
"Otu85",0,0,191,0,0,0,0,0,0,0,131,0,0,0,0,9,0,71,55,0,123,79
"Otu317",0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu912",0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Otu195",0,0,39,0,1,37,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
"Otu152",0,0,33,0,3,0,0,0,0,148,0,135,0,0,0,2,3,0,1,0,0,0
"Otu73",0,0,99,0,0,0,0,0,0,0,0,0,0,71,0,1,0,344,261,0,124,302
"Otu220",0,0,59,0,0,0,0,0,0,0,0,0,0,112,0,0,0,2,17,0,3,3
"Otu129",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,116,0,552,3628,0,336,577
"Otu228",0,0,44,0,0,0,0,0,0,0,81,0,0,213,0,0,0,2,2,0,0,4
"Otu135",0,0,2,1,0,7,1,0,0,0,63,39,0,50,97,0,0,0,0,0,0,0
"Otu89",0,0,7,61,450,1,217,0,0,0,741,0,139,0,0,0,0,27,57,0,31,35
"Otu499",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu98",0,0,9,27,139,1,0,65,0,0,194,2,5,0,0,5,0,3,1,1416,0,0
"Otu38",0,0,36,0,0,579,0,273,0,639,0,232,0,0,0,14,4,0,0,0,0,0
"Otu537",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,80,95,0,25,87
"Otu37",0,0,17,0,2,0,0,0,0,0,0,0,0,1737,0,177,0,1382,1899,0,667,1444
"Otu342",0,0,22,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Otu479",0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"Otu239",0,0,9,0,0,0,0,4,0,0,21,0,0,0,0,21,0,13,15,0,13,10
"Otu396",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,11,8
"Otu181",0,0,6,157,42,0,0,0,0,1,0,0,680,9,176,2,0,0,53,0,18,0
"Otu652",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,88,2,82,264
"Otu586",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,0,57,81,0,52,131
"Otu921",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu589",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu3",0,0,8,0,7,0,0,0,0,1,37,1,0,2,0,1223,51465,5729,1485,35,888,1434
"Otu568",0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,27,4,8,100,0,62,480
"Otu538",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,108,569,0,35,124
"Otu604",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,4
"Otu57",0,0,1,3,11,2,2,0,0,0,2,0,1,0,0,3,779,703,63,2948,31,0
"Otu20",0,0,6,0,0,0,0,0,0,0,0,1,0,388,0,409,231,2039,3648,0,1043,1409
"Otu841",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11
"Otu584",0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,38,0,1,46,0,44,492
"Otu602",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6
"Otu21",0,0,2,0,16,0,0,0,0,0,0,0,0,328,0,679,11,4813,8474,24,1609,7503
"Otu23",0,0,2,0,5,0,0,0,0,0,135,0,260,914,0,599,108,3140,1636,1,302,2188
"Otu544",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,93,61,0,6,67
"Otu664",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu669",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
"Otu598",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu582",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,99,0,1,0,4,169
"Otu641",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,95,47,0,6,61
"Otu69",0,0,1,0,0,0,0,0,0,0,0,682,1,0,0,30,0,0,0,0,0,0
"Otu460",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,2,268,1153,0,149,230
"Otu35",0,0,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu49",0,0,0,434,56,312,0,726,0,0,0,0,42,4,0,0,0,0,0,0,6,0
"Otu58",0,0,0,136,0,0,0,0,0,526,0,1531,0,0,0,0,0,0,0,0,0,0
"Otu736",0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu177",0,0,0,12,0,0,17,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu409",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu671",0,0,0,2,9,0,0,0,1,0,3,0,0,0,0,0,2,0,0,17,0,0
"Otu920",0,0,0,2,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0
"Otu805",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu238",0,0,0,0,2300,27,0,0,1,0,479,1,0,42,0,20,2945,64,15,0,5,18
"Otu39",0,0,0,0,634,782,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu34",0,0,0,0,2584,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu349",0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu120",0,0,0,0,3,1,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0
"Otu702",0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Otu329",0,0,0,0,10,2,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
"Otu745",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu525",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu773",0,0,0,0,8,0,0,0,0,0,34,0,0,0,0,14,0,32,12,0,4,9
"Otu422",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu251",0,0,0,0,8,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0
"Otu355",0,0,0,0,22,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
"Otu590",0,0,0,0,8,1,136,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0
"Otu106",0,0,0,0,20,12,77,0,11,0,50,166,0,0,0,0,0,0,0,0,0,0
"Otu835",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu509",0,0,0,0,5,0,0,0,0,0,0,0,0,22,0,36,0,134,176,0,105,164
"Otu309",0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu4",0,0,0,0,7,0,0,0,0,0,779,0,2,0,0,4962,47584,6520,1370,4,573,4718
"Otu372",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu326",0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"Otu222",0,0,0,0,4,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
"Otu448",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Otu483",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu381",0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0
"Otu535",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Otu678",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu640",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu837",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu802",0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
"Otu224",0,0,0,0,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu480",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Otu519",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu838",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu27",0,0,0,0,21,377,0,0,51,0,0,2074,0,0,0,0,0,0,11,0,0,0
"Otu908",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu393",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu591",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu581",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu111",0,0,0,0,3,0,0,0,0,0,24,0,262,0,0,2,0,10,0,0,0,0
"Otu216",0,0,0,0,1,0,0,0,0,0,84,0,0,52,0,0,0,0,0,0,0,0
"Otu857",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu518",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu796",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu547",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu292",0,0,0,0,3,6,0,0,0,14,0,0,0,69,0,3,0,0,1,0,3,0
"Otu731",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu807",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu734",0,0,0,0,1,3,0,0,0,0,0,375,0,0,0,0,336,356,46,1830,19,0
"Otu738",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu74",0,0,0,0,1,0,0,0,0,0,0,613,116,0,0,0,0,0,0,0,0,9
"Otu229",0,0,0,0,1,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
"Otu128",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,293,416,1614,270,1,241,330
"Otu336",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
"Otu765",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu932",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu809",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu322",0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
"Otu288",0,0,0,0,1,5,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
"Otu555",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,226,1,963,1244,0,410,1099
"Otu32",0,0,0,0,0,184,0,0,0,0,0,6,0,0,2130,0,1,5,0,0,0,34
"Otu136",0,0,0,0,0,140,0,0,0,0,0,69,0,0,0,27,0,0,0,0,0,0
"Otu179",0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu141",0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu189",0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu140",0,0,0,0,0,218,0,0,0,0,9,0,0,19,167,0,4,0,0,0,42,0
"Otu223",0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu255",0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu131",0,0,0,0,0,82,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0
"Otu312",0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu459",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu490",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu386",0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"Otu542",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu706",0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"Otu260",0,0,0,0,0,1,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
"Otu408",0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu549",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu197",0,0,0,0,0,1,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0
"Otu528",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu435",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu831",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu365",0,0,0,0,0,1,0,0,0,0,0,0,2,1,18,0,0,0,0,0,0,0
"Otu13",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16897,2,0,0
"Otu266",0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu132",0,0,0,0,0,0,5,0,0,0,0,0,0,1,248,0,0,0,0,0,0,0
"Otu41",0,0,0,0,0,0,118,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu302",0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu281",0,0,0,0,0,0,43,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Otu374",0,0,0,0,0,0,18,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
"Otu481",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Otu701",0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Otu209",0,0,0,0,0,0,1,4,0,0,9,14,45,64,71,0,0,0,0,0,0,0
"Otu62",0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,3,2,36,21,0,5,22
"Otu76",0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu54",0,0,0,0,0,0,0,196,0,783,0,0,0,0,0,0,0,0,0,0,0,0
"Otu186",0,0,0,0,0,0,0,131,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"Otu403",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu178",0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu112",0,0,0,0,0,0,0,0,288,0,34,0,0,17,0,0,0,0,0,0,0,0
"Otu150",0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu139",0,0,0,0,0,0,0,0,121,0,25,121,0,0,0,0,0,0,0,0,0,0
"Otu156",0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu221",0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,15,0,1,1,2
"Otu127",0,0,0,0,0,0,0,0,154,91,0,27,0,0,269,1,0,0,0,0,0,4
"Otu18",0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,114,951,2547,819,854,2404,419
"Otu432",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu311",0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu371",0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu379",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu335",0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu360",0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu330",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,36,0,0,26,12
"Otu308",0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu296",0,0,0,0,0,0,0,0,28,0,36,0,0,20,0,0,1,0,0,0,0,0
"Otu414",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu419",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu103",0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0
"Otu66",0,0,0,0,0,0,0,0,0,533,7,0,1,122,0,0,0,0,0,0,0,0
