"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050","YBH039","YBH041","YBH051","YBH052","YBH053","YBH055","YBH056"
"Otu216",0,0,0,0,1,0,0,0,0,0,84,0,0,52,0,0,0,0,0,0,0,0
"Otu731",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu229",0,0,0,0,1,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
"Otu128",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,319,1475,2529,390,1,300,510
"Otu32",0,0,0,0,0,184,0,0,0,0,0,6,0,0,2130,0,1,5,0,0,0,34
"Otu255",0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu131",0,0,0,0,0,82,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0
"Otu312",0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu13",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16897,2,0,0
"Otu281",0,0,0,0,0,0,43,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Otu54",0,0,0,0,0,0,0,196,0,783,0,0,0,0,0,0,0,0,0,0,0,0
"Otu178",0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu150",0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu221",0,52,0,0,0,47,0,0,142,0,0,0,0,0,0,7,0,51,0,1,27,14
"Otu127",0,0,0,0,0,0,0,131,154,91,0,54,0,0,307,14,0,0,0,0,0,9
"Otu432",0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu335",0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu360",0,0,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu419",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu103",0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0
"Otu66",52,11,7,0,26,10,1,0,180,533,86,0,1,125,0,0,0,12,5,0,0,0
"Otu40",0,0,0,0,0,0,0,0,0,1646,0,0,1,0,0,0,0,0,0,0,0,0
"Otu290",0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
"Otu78",0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0
"Otu53",0,0,0,0,0,0,0,0,0,402,31,0,0,0,1007,0,0,5,2,1,2,0
"Otu130",0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0
"Otu95",0,0,0,0,0,0,0,0,0,395,0,72,0,0,0,0,0,0,0,0,0,0
"Otu119",0,0,0,0,0,0,0,0,0,281,0,87,0,0,0,0,0,0,0,0,0,0
"Otu253",0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,2,0,0,0,0
"Otu118",0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
"Otu232",0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
"Otu219",0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
"Otu160",0,0,0,0,2,0,0,0,0,182,144,0,0,0,0,47,0,0,0,0,0,19
"Otu259",0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
"Otu247",0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
"Otu333",0,0,0,0,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0
"Otu421",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0
"Otu476",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Otu593",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Otu348",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"Otu230",0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,1,0,0
"Otu280",0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,1,0,0,0
"Otu256",0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
"Otu101",0,0,0,0,0,0,0,0,0,0,123,182,0,59,0,0,0,0,3,0,18,1
"Otu337",0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
"Otu447",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Otu248",0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
"Otu390",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"Otu373",0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"Otu387",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0
"Otu249",0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
"Otu114",0,0,0,0,0,0,0,0,0,0,6,0,0,0,308,16,0,0,0,0,26,0
"Otu500",0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"Otu498",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Otu429",0,7,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"Otu457",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"Otu488",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0
"Otu48",0,0,0,0,0,0,0,0,0,0,7,167,920,19,0,0,0,40,7,1,0,0
"Otu465",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0
"Otu121",0,0,0,0,0,0,0,0,0,0,2,278,0,112,0,0,0,0,0,0,2,1
"Otu117",0,0,0,0,0,0,0,0,0,0,1,324,0,64,0,0,0,0,0,0,42,0
"Otu97",0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0
"Otu52",0,0,0,0,0,0,0,0,0,0,0,636,0,0,352,0,0,0,0,0,0,17
"Otu107",0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0
"Otu184",0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0
"Otu171",0,0,0,0,0,0,0,0,0,0,0,133,9,0,0,0,0,0,0,0,0,0
"Otu99",0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0
"Otu133",0,0,0,0,0,0,0,0,0,0,0,247,0,39,0,0,0,0,0,0,0,0
"Otu102",0,0,0,0,0,2,0,0,288,0,64,377,0,248,0,0,0,0,26,0,114,3
"Otu215",0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,2,0
"Otu137",0,0,0,0,0,0,0,0,0,0,12,209,0,5,0,0,0,0,0,0,0,1
"Otu86",0,0,0,0,0,0,0,0,0,0,11,464,0,0,0,1,0,0,0,0,2,0
"Otu263",0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0
"Otu198",0,0,0,0,0,0,0,0,0,0,0,117,0,45,51,0,0,3,0,0,6,0
"Otu252",0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,7,4,0,4,3
"Otu174",0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,8,0,0,0,0,0,0
"Otu170",0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0
"Otu176",0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0
