#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,YBH039,YBH041,YBH051,YBH052,YBH053,YBH055,YBH056,,,,YBH,,
Otu1242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu10,0,335,36004,1,820,45,0,0,0,578,1348,0,3069,2371,0,4649,4910,22189,13371,90,4969,11578,41780,,,,,
Otu26,0,97,0,110,1,3,0,506,0,0,0,469,0,0,0,2966,0,23,48,181,0,0,207,,,,,
Otu294,0,98,28,0,0,0,43,401,0,0,1,1,0,0,0,1,0,0,1,8,1,0,126,,,,,
Otu72,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,,,,,
Otu182,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,,,,,
Otu9,0,678,9,38,0,137,2,0,169,22,149,3,4033,19854,1930,1,0,0,0,0,0,0,26542,,,,,
Otu124,0,198,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,198,,,,,
Otu161,0,262,65,25,2,0,0,0,93,0,59,0,0,0,0,0,0,8,0,0,0,0,352,,,,,
Otu183,0,122,0,0,3,7,70,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,122,,,,,
Otu33,0,279,643,0,11,143,1,0,796,14,167,2,0,39,0,0,0,3,0,7,0,0,961,,,,,
Otu270,0,56,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,56,,,,,
Otu415,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,
Otu264,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,,,,,
Otu225,0,92,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,,,,,
Otu6,0,12,9,0,11,248,0,1,0,1,1,1,0,0,0,303,14508,18816,10429,17272,1668,184,21,,,,,
Otu531,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,
Otu15,0,8,1,11209,13,0,0,0,0,0,15,14,689,2,4,5,0,0,0,0,0,0,11913,,,,,
Otu277,0,52,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,,,,,
Otu276,0,2,0,136,0,0,57,0,0,0,57,116,108,0,38,0,0,0,0,1,0,0,284,,,,,
Otu8,0,89,198,12868,2507,498,219,7125,0,2,1083,0,5007,5,0,0,1,2,2,706,0,0,18167,,,,,
Otu185,0,11,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,
Otu36,0,11,0,0,15,2,0,288,346,0,0,160,669,0,0,0,0,0,0,0,0,0,680,,,,,
Otu231,0,33,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,,,,,
Otu273,0,65,0,0,23,2,0,0,39,0,27,0,0,0,0,0,0,0,0,0,0,0,65,,,,,
Otu105,0,28,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,28,,,,,
Otu123,0,7,0,0,1,0,92,257,0,0,96,0,0,0,0,0,0,0,0,0,1,0,7,,,,,
Otu261,0,8,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,4,0,0,0,0,8,,,,,
Otu927,0,1,510,0,0,0,0,0,0,0,0,0,2,8,0,630,102,3,364,7,550,1167,521,,,,,
Otu12,0,5,185,1243,1059,216,0,15367,2,0,9941,308,1541,6,0,71,0,92,16,13035,3,0,,,,,,
Otu451,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Otu567,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,213,110,8,721,8,0,5,,,,,
Otu291,0,3,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,49,,,,,
Otu1018,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,,,,
