,Abundance,Species
OTU1 - Aeromonas spp.,44.3,Governor's Island
OTU2 - Cetobacterium somerae,14.89,Governor's Island
OTU5 - Streptococcus spp.,7.95,Governor's Island
OTU1 - Aeromonas spp.,79.97,Eagle Wings
OTU8 - Shewanella spp.,2.61,Eagle Wings
OTU14 - Corynebacterium spp.,1.34,Eagle Wings
