"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050"
"Otu353",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Otu295",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"Otu306",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Otu336",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Otu84",0,0,0,0,0,0,0,0,0,377,0,0,0,0,0
"Otu51",20,1,4,0,6,4,0,0,47,343,17,0,0,48,0
"Otu28",0,0,0,0,0,0,0,0,0,1024,0,0,0,0,0
"Otu258",0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
"Otu61",0,0,0,0,0,0,0,0,0,331,0,0,0,0,0
"Otu40",0,0,0,0,0,0,0,0,0,252,12,0,0,0,871
"Otu111",0,0,0,0,0,0,0,0,0,221,0,0,0,0,0
"Otu77",0,0,0,0,0,0,0,0,0,252,0,72,0,0,0
"Otu101",0,0,0,0,0,0,0,0,0,172,0,87,0,0,0
"Otu229",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
"Otu100",0,0,0,0,0,0,0,0,0,179,0,0,0,0,0
"Otu208",0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
"Otu194",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
"Otu137",0,0,0,0,1,0,0,0,0,111,39,0,0,0,0
"Otu232",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"Otu223",0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"Otu287",0,0,0,0,0,0,0,0,0,14,1,0,0,0,0
"Otu349",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Otu368",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Otu422",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Otu302",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Otu205",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
"Otu251",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"Otu233",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"Otu82",0,0,0,0,0,0,0,0,0,0,37,182,0,21,0
"Otu293",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"Otu357",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu225",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"Otu328",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Otu317",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu329",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Otu222",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"Otu94",0,0,0,0,0,0,0,0,0,0,1,0,0,0,266
"Otu384",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Otu383",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Otu364",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Otu375",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Otu36",0,0,0,0,0,0,0,0,0,0,3,167,345,10,0
"Otu363",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Otu103",0,0,0,0,0,0,0,0,0,0,0,278,0,46,0
"Otu99",0,0,0,0,0,0,0,0,0,0,0,324,0,27,0
"Otu79",0,0,0,0,0,0,0,0,0,0,0,390,0,0,0
"Otu39",0,0,0,0,0,0,0,0,0,0,0,636,0,0,302
"Otu88",0,0,0,0,0,0,0,0,0,0,0,356,0,0,0
"Otu158",0,0,0,0,0,0,0,0,0,0,0,151,0,0,0
"Otu147",0,0,0,0,0,0,0,0,0,0,0,133,2,0,0
"Otu80",0,0,0,0,0,0,0,0,0,0,0,427,0,0,0
"Otu114",0,0,0,0,0,0,0,0,0,0,0,247,0,17,0
"Otu81",0,0,0,0,0,0,0,0,62,0,26,377,0,92,0
"Otu191",0,0,0,0,0,0,0,0,0,0,0,104,0,0,0
"Otu118",0,0,0,0,0,0,0,0,0,0,5,209,0,3,0
"Otu67",0,0,0,0,0,0,0,0,0,0,2,464,0,0,0
"Otu235",0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
"Otu173",0,0,0,0,0,0,0,0,0,0,0,117,0,18,43
"Otu227",0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
"Otu154",0,0,0,0,0,0,0,0,0,0,0,131,0,0,0
"Otu148",0,0,0,0,0,0,0,0,0,0,0,204,0,0,0
"Otu166",0,0,0,0,0,0,0,0,0,0,0,23,32,0,0
"Otu49",0,0,0,0,0,0,0,0,0,0,0,59,257,0,0
"Otu167",0,0,0,0,0,0,0,0,0,0,0,112,0,0,0
