,Abundance,Species
OTU1 - Aeromonas spp.,0.63431758,Round Goby
OTU2 - Cetobacterium somerae,0.07290182,Round Goby
OTU5 - Streptococcus spp.,0.0377196,Round Goby
OTU1 - Aeromonas spp.,0.13337836,Yellow Bullhead
OTU2 - Cetobacterium somerae,0.35501991,Yellow Bullhead
OTU6 - Plesiomonas shigelloides,0.06234805,Yellow Bullhead
