Pairwise_Comparison,Distance,SE
Governor's Island vs. Governor's Island,0.46419785,0.028371293
Governor's Island vs. Eagle Wings,0.355437982,0.030914464
Eagle Wings vs. Eagle Wings,0.120343787,0.010983597
