,RGnumSampled,variable,value,Location
146,14500,usearch.RG025,42.394,Governors Island
147,14600,usearch.RG025,42.417,Governors Island
148,14700,usearch.RG025,42.439,Governors Island
149,14800,usearch.RG025,42.467,Governors Island
150,14900,usearch.RG025,42.49,Governors Island
151,15000,usearch.RG025,42.511,Governors Island
152,15100,usearch.RG025,42.532,Governors Island
153,15200,usearch.RG025,42.565,Governors Island
154,15300,usearch.RG025,42.588,Governors Island
155,15400,usearch.RG025,42.611,Governors Island
156,15500,usearch.RG025,42.63,Governors Island
157,15600,usearch.RG025,42.654,Governors Island
158,15700,usearch.RG025,42.674,Governors Island
159,15800,usearch.RG025,42.699,Governors Island
160,15900,usearch.RG025,42.723,Governors Island
161,16000,usearch.RG025,42.753,Governors Island
162,16100,usearch.RG025,42.777,Governors Island
163,16200,usearch.RG025,42.8,Governors Island
164,16300,usearch.RG025,42.824,Governors Island
165,16400,usearch.RG025,42.839,Governors Island
166,16500,usearch.RG025,42.861,Governors Island
167,16600,usearch.RG025,42.884,Governors Island
168,16700,usearch.RG025,42.909,Governors Island
169,16800,usearch.RG025,42.928,Governors Island
170,16900,usearch.RG025,42.951,Governors Island
171,17000,usearch.RG025,42.97,Governors Island
172,17100,usearch.RG025,42.998,Governors Island
173,17200,usearch.RG025,43.021,Governors Island
174,17300,usearch.RG025,43.043,Governors Island
175,17400,usearch.RG025,43.06,Governors Island
176,17500,usearch.RG025,43.08,Governors Island
177,17600,usearch.RG025,43.101,Governors Island
178,17700,usearch.RG025,43.118,Governors Island
179,17800,usearch.RG025,43.13,Governors Island
180,17900,usearch.RG025,43.153,Governors Island
181,18000,usearch.RG025,43.17,Governors Island
182,18100,usearch.RG025,43.19,Governors Island
183,18200,usearch.RG025,43.213,Governors Island
184,18300,usearch.RG025,43.235,Governors Island
185,18400,usearch.RG025,43.256,Governors Island
186,18500,usearch.RG025,43.274,Governors Island
187,18600,usearch.RG025,43.292,Governors Island
188,18700,usearch.RG025,43.306,Governors Island
189,18800,usearch.RG025,43.317,Governors Island
190,18900,usearch.RG025,43.336,Governors Island
191,19000,usearch.RG025,43.354,Governors Island
192,19100,usearch.RG025,43.372,Governors Island
193,19200,usearch.RG025,43.379,Governors Island
194,19300,usearch.RG025,43.396,Governors Island
195,19400,usearch.RG025,43.42,Governors Island
196,19500,usearch.RG025,43.444,Governors Island
197,19600,usearch.RG025,43.459,Governors Island
198,19700,usearch.RG025,43.474,Governors Island
199,19800,usearch.RG025,43.488,Governors Island
200,19900,usearch.RG025,43.509,Governors Island
201,20000,usearch.RG025,43.531,Governors Island
202,20100,usearch.RG025,43.549,Governors Island
203,20200,usearch.RG025,43.572,Governors Island
204,20300,usearch.RG025,43.59,Governors Island
205,20400,usearch.RG025,43.603,Governors Island
206,20500,usearch.RG025,43.616,Governors Island
207,20600,usearch.RG025,43.637,Governors Island
208,20700,usearch.RG025,43.656,Governors Island
209,20800,usearch.RG025,43.682,Governors Island
210,20900,usearch.RG025,43.693,Governors Island
211,21000,usearch.RG025,43.707,Governors Island
212,21100,usearch.RG025,43.724,Governors Island
213,21200,usearch.RG025,43.737,Governors Island
214,21300,usearch.RG025,43.754,Governors Island
215,21400,usearch.RG025,43.77,Governors Island
216,21500,usearch.RG025,43.796,Governors Island
217,21600,usearch.RG025,43.817,Governors Island
218,21700,usearch.RG025,43.842,Governors Island
219,21800,usearch.RG025,43.874,Governors Island
220,21900,usearch.RG025,43.891,Governors Island
221,22000,usearch.RG025,43.906,Governors Island
222,22100,usearch.RG025,43.922,Governors Island
223,22200,usearch.RG025,43.946,Governors Island
224,22300,usearch.RG025,43.964,Governors Island
225,22400,usearch.RG025,43.989,Governors Island
226,22500,usearch.RG025,44.006,Governors Island
227,22600,usearch.RG025,44.022,Governors Island
228,22700,usearch.RG025,44.04,Governors Island
229,22800,usearch.RG025,44.059,Governors Island
230,22900,usearch.RG025,44.075,Governors Island
231,23000,usearch.RG025,44.091,Governors Island
232,23100,usearch.RG025,44.113,Governors Island
233,23200,usearch.RG025,44.131,Governors Island
234,23300,usearch.RG025,44.15,Governors Island
235,23400,usearch.RG025,44.164,Governors Island
236,23500,usearch.RG025,44.179,Governors Island
237,23600,usearch.RG025,44.184,Governors Island
238,23700,usearch.RG025,44.198,Governors Island
239,23800,usearch.RG025,44.217,Governors Island
240,23900,usearch.RG025,44.233,Governors Island
241,24000,usearch.RG025,44.259,Governors Island
242,24100,usearch.RG025,44.28,Governors Island
243,24200,usearch.RG025,44.298,Governors Island
244,24300,usearch.RG025,44.315,Governors Island
245,24400,usearch.RG025,44.333,Governors Island
246,24500,usearch.RG025,44.354,Governors Island
247,24600,usearch.RG025,44.368,Governors Island
