#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,,,,,,
Otu160,0,11,0,0,0,0,0,0,137,0,0,0,0,0,0,11,,,,,
Otu24,0,11,0,0,15,2,0,288,346,0,0,160,669,0,0,680,,,,,
Otu207,0,33,0,0,44,0,0,0,0,0,0,0,0,0,0,33,,,,,
Otu247,0,65,0,0,23,2,0,0,39,0,27,0,0,0,0,65,,,,,
Otu86,0,28,0,0,0,0,0,0,0,0,0,328,0,0,0,28,,,,,
Otu105,0,7,0,0,1,0,92,257,0,0,96,0,0,0,0,7,,,,,
Otu238,0,8,0,0,0,0,0,0,0,0,118,0,0,0,0,8,,,,,
Otu8,0,5,186,1252,1122,217,0,15427,2,0,10102,310,1545,6,0,2994,,,,,
Otu359,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,
Otu385,0,6,0,0,2,2,0,0,1,0,0,0,0,1,0,7,,,,,
Otu260,0,3,0,0,0,0,0,0,49,0,0,0,0,0,0,3,,,,,
Otu361,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,5,,,,,
Otu476,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,,,,,
Otu552,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,,,,,
Otu16,0,1,0,0,0,4,0,22,1870,528,0,0,0,0,0,1,,,,,
Otu469,0,10,1,4,0,0,1,4,0,0,1,0,0,0,0,15,,,,,
Otu406,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,
Otu410,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,
Otu462,0,5,1,66,270,1,0,53,0,1,263,0,4,0,0,76,,,,,
Otu543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu420,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,,,,,
Otu474,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,
Otu379,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,
Otu330,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,40,,,,,
Otu25,0,0,427,0,132,0,0,0,0,0,125,0,768,664,0,1859,,,,,
Otu175,0,0,118,0,0,0,0,0,0,1,0,0,469,0,0,587,,,,,
Otu204,0,0,135,0,0,0,0,0,0,0,81,0,0,213,0,348,,,,,
Otu211,0,0,85,0,0,0,0,0,0,0,0,0,8,0,0,93,,,,,
Otu333,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,,
Otu278,0,0,4,0,0,0,0,0,0,0,0,0,0,34,0,38,,,,,
Otu184,0,0,100,0,0,0,0,0,0,0,0,0,0,71,0,171,,,,,
Otu471,0,0,63,0,0,0,0,0,0,0,0,0,0,1,0,64,,,,,
Otu187,0,0,113,0,0,1,0,0,0,0,0,0,91,0,0,204,,,,,
Otu127,0,0,191,0,0,0,0,0,0,0,131,0,0,0,0,191,,,,,
Otu280,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,
Otu252,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,78,,,,,
Otu169,0,0,39,0,1,37,0,0,0,0,48,0,0,0,0,39,,,,,
Otu479,0,0,78,0,3,0,0,0,0,0,2,0,0,2,0,80,,,,,
Otu135,0,0,33,0,3,0,0,0,0,148,0,135,0,0,0,33,,,,,
Otu196,0,0,60,0,0,0,0,0,0,0,0,0,0,112,0,172,,,,,
Otu358,0,0,2,402,619,13,14,86,0,0,492,0,10,0,0,414,,,,,
