"","ftu"
"RG025",0.236405349995119
"RG026",0.037684272185883
"RG027",0.913184613882652
"RG029",0.0308015229913111
"RG031",0.0344625597969345
"RG032",0.0753685443717661
"RG033",0.0100556477594455
"RG034",0.196109538221224
"RG037",0.0306794884311237
"RG038",0.307917602264961
"RG043",0.142438738650786
"RG045",0.568778678121644
"RG048",0.215244557258616
"RG049",0.734940935272869
"RG050",0.877379673923655
